#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
113.837844,2,2,1176,2980
158.951058,3,2,1566,4136
140.496769,4,2,1653,4539
154.240334,5,2,1670,4823
195.598297,5,2,1523,4659
189.734549,6,2,1447,4719
213.900399,7,2,1581,5246
179.599513,8,2,1636,5645
119.721040,8,3,1335,4917
195.851715,9,3,1413,5298
197.990766,10,3,1518,5763
195.082841,11,3,1589,6170
178.165248,11,4,1337,5441
152.398849,11,5,1269,5320
177.905023,12,5,1356,5761
150.357532,11,7,1261,5582
159.628732,10,9,1194,5398
166.191381,11,9,1282,5841
182.760859,12,9,1320,6182
208.494535,11,11,1356,6150
209.428504,13,10,1527,6973
180.861628,10,12,1301,5920
164.187973,8,13,1186,5215
186.710362,8,13,1280,5444
148.829184,7,14,1245,5237
144.992453,8,14,1335,5688
156.551840,9,14,1394,6042
189.402630,10,14,1473,6444
150.892190,9,15,1400,5952
167.996173,9,15,1351,5625
129.651839,8,11,1234,4996
151.732299,9,11,1393,5563
141.773150,9,11,1319,5258
114.368456,8,13,1101,4435
123.301998,7,14,1024,3888
112.803160,8,14,1119,4278
117.159876,9,14,1166,4567
122.436667,9,11,1110,4429
128.233225,10,11,1254,4890
95.633061,8,13,937,3627
138.043652,9,13,1033,3990
112.846641,8,15,898,3509
113.097275,8,16,947,3627
90.432647,7,18,829,3270
88.152986,7,19,847,3317
123.870164,8,19,945,3743
99.218217,8,20,869,3525
106.616134,7,14,771,3118
96.374009,8,14,837,3405
98.685571,8,15,827,3375
96.452571,7,13,721,2932
104.008105,9,12,879,3538
98.425669,9,13,885,3570
149.920731,9,14,871,3574
117.454148,10,14,913,3853
129.492822,11,14,965,4159
138.747976,12,14,1029,4488
142.438651,13,14,1150,4943
168.743617,14,14,1235,5370
189.042913,15,14,1277,5685
166.627875,16,14,1314,5979
200.020270,17,14,1354,6299
216.796009,18,14,1421,6688
196.087904,17,13,1303,6202
199.219405,18,13,1364,6503
164.507123,16,9,1185,5723
165.255495,14,12,1055,5228
170.970935,14,13,1076,5426
144.371468,11,17,892,4760
141.169851,12,17,971,5081
173.477374,13,17,987,5250
144.491413,13,18,985,5235
121.337657,11,21,852,4427
138.926931,12,21,890,4660
118.208125,11,23,815,4031
106.420333,11,21,760,3712
110.378809,10,22,727,3463
100.176207,10,23,758,3535
85.213683,9,16,745,3334
114.668118,10,16,787,3582
113.886288,10,15,801,3641
109.573254,9,15,784,3467
93.773584,8,13,756,3200
121.592138,9,13,840,3580
129.833805,10,13,889,3892
116.845657,10,11,928,4010
146.912974,10,12,934,4105
134.475682,11,12,980,4420
146.697083,12,12,1014,4695
153.424512,12,13,1036,4771
160.686780,13,13,1131,5209
169.118252,14,13,1201,5575
200.904154,15,13,1232,5862
206.407665,15,12,1184,5783
195.653292,16,12,1202,5954
207.186517,18,13,1223,6274
203.980274,17,12,1113,5837
195.098194,18,12,1172,6065
198.749747,19,12,1160,6118
208.051804,20,12,1172,6228
239.663798,22,14,1310,6881
210.837782,22,15,1327,6992
166.120246,18,15,1025,5457
204.167895,21,16,1340,7046
218.087318,23,14,1281,6827
186.915177,18,18,951,5313
205.433800,18,21,1279,6903
82.875115,9,24,461,2662
74.306797,10,24,493,2813
80.094654,11,24,616,3183
70.225152,9,26,565,2779
72.713901,9,27,565,2811
98.878923,11,26,651,3189
91.194673,11,27,649,3230
120.797303,13,26,737,3632
121.905479,12,28,727,3606
110.717727,13,28,765,3819
103.765006,12,30,764,3553
96.286727,11,32,762,3418
137.389533,10,34,752,3345
109.931431,10,36,758,3497
88.924648,9,38,700,3199
96.017927,10,38,726,3379
123.511408,10,39,774,3472
107.507317,12,38,814,3856
104.462386,12,39,794,3760
115.530759,11,41,785,3710
101.565963,10,43,724,3393
109.898711,12,43,769,3606
