#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.320174,0.035725,284.903613,0.000000,0.000000,285.263893
1.789064,0.607858,205.674121,0.000000,0.004954,208.078892
100.788915,1.347828,440.478512,113.837844,0.855579,657.312341
93.258110,0.827177,698.128701,158.951058,3.858913,955.027445
88.978272,2.556609,842.127178,140.496769,4.463437,1078.625110
104.725641,0.680180,876.290678,154.240334,1.933121,1137.872037
27.975299,0.512167,260.582829,195.598297,4.759290,489.429092
19.928617,0.342730,263.227773,189.734549,2.187518,475.422239
36.867900,0.207620,241.570523,213.900399,3.912420,496.461832
22.698757,0.259246,299.409490,179.599513,11.071919,513.044080
24.804467,0.394871,188.788058,119.721040,4.494621,338.205401
36.404495,0.289500,298.763550,195.851715,7.623112,538.934354
24.471464,0.275961,302.932762,197.990766,5.132933,530.805029
21.340513,0.302249,305.172214,195.082841,9.231839,531.135331
27.958905,0.498680,246.070011,178.165248,8.227136,460.920810
19.120561,0.160597,186.951331,152.398849,5.409916,364.042338
26.022381,0.237450,198.934385,177.905023,9.631485,412.733777
29.283829,0.215300,161.144919,150.357532,9.312693,350.316536
26.065006,0.359000,158.647640,159.628732,5.470044,350.171420
27.070878,0.259942,160.315709,166.191381,7.727345,361.566358
20.607628,0.265214,166.919672,182.760859,11.843721,382.398075
27.133669,0.246490,188.321575,208.494535,14.021188,438.218730
25.879473,0.652678,186.956762,209.428504,10.403409,433.322209
20.334965,0.201055,129.479030,180.861628,18.904049,349.781824
22.115295,0.270019,146.102465,164.187973,20.376486,353.053521
21.899942,0.216042,121.324959,186.710362,15.028451,345.181943
27.470280,0.294075,128.042764,148.829184,9.300817,313.939600
32.509725,0.551182,113.604062,144.992453,6.679935,298.338201
21.181300,0.292933,113.604972,156.551840,10.307676,301.941069
19.077407,0.384238,167.006903,189.402630,7.857358,383.729388
16.022329,0.177907,115.347333,150.892190,6.565767,289.006496
17.925922,0.252203,118.080934,167.996173,6.574626,310.831034
30.129597,0.215649,110.480957,129.651839,4.170408,274.651599
30.171248,0.285461,130.691105,151.732299,9.367557,322.249873
24.860980,0.193994,98.662831,141.773150,9.240077,274.737252
21.260662,0.228968,92.727012,114.368456,10.183603,238.770113
18.427948,0.196356,105.743168,123.301998,6.863244,254.533708
22.607174,0.154695,98.293054,112.803160,8.019207,241.883789
18.753392,0.209194,111.484019,117.159876,9.864705,257.472405
23.647843,0.218729,113.777126,122.436667,9.130191,269.212298
19.074511,0.262702,152.968798,128.233225,14.418450,314.958931
18.508188,0.179424,97.275663,95.633061,13.169154,224.766721
18.670162,0.429150,136.183071,138.043652,5.504994,298.832288
17.041046,0.233785,118.882226,112.846641,6.346160,255.350785
25.281631,1.207327,133.005295,113.097275,9.485031,282.077676
20.938629,0.260593,101.513775,90.432647,5.313516,218.460464
14.889796,0.208743,109.325079,88.152986,9.557832,222.135619
23.786898,0.190705,127.754765,123.870164,5.502440,281.105926
18.251058,0.420514,88.381913,99.218217,3.517632,209.790244
35.268314,0.243382,107.798527,106.616134,6.545410,256.473190
31.892109,0.178188,84.762505,96.374009,2.597687,215.805721
23.942978,0.228585,80.242411,98.685571,3.985834,207.086608
14.808541,0.186201,79.222546,96.452571,3.785278,194.456382
15.901481,0.113987,111.881233,104.008105,8.650341,240.557675
24.401323,0.126905,90.043768,98.425669,2.575301,215.573856
25.722916,0.216040,116.300244,149.920731,7.464952,299.626657
22.407028,0.137782,96.122396,117.454148,5.216518,241.339400
14.886309,0.144786,132.550571,129.492822,5.350576,282.426346
20.786986,0.153572,131.288723,138.747976,4.165494,295.143699
28.209170,0.635213,138.952611,142.438651,9.157075,319.394029
33.197939,0.173228,181.787559,168.743617,7.860261,391.764013
24.164142,0.275716,197.547931,189.042913,10.168507,421.199918
20.944709,0.275327,168.731952,166.627875,7.845267,364.426920
18.636582,0.596718,205.306598,200.020270,10.191144,434.752909
23.525838,0.136030,199.232556,216.796009,5.728248,445.422983
20.217755,1.007726,155.572667,196.087904,9.692628,382.582264
20.706670,0.176448,189.187613,199.219405,10.941094,420.233098
21.586048,0.169441,181.398788,164.507123,14.749683,382.412637
21.175931,0.226217,145.790087,165.255495,5.395316,337.844138
23.404371,0.154573,166.242970,170.970935,12.880868,373.655231
33.895202,0.314277,122.943160,144.371468,12.447738,313.973081
22.391553,0.158634,139.984768,141.169851,13.279836,316.985827
17.282144,0.571623,154.000953,173.477374,11.118361,356.451681
16.807520,0.155966,141.612969,144.491413,5.815730,308.884781
18.578928,0.162259,139.584418,121.337657,7.834413,287.499153
31.895967,0.194130,144.236652,138.926931,8.855625,324.114681
20.097538,0.150255,129.432507,118.208125,3.383425,271.272881
17.948088,0.161527,114.771908,106.420333,5.893946,245.197145
25.445641,0.183502,111.084552,110.378809,3.305371,250.399148
21.209803,0.139951,115.032464,100.176207,6.450522,243.010669
19.659194,0.141986,98.928963,85.213683,3.139798,207.084301
20.243737,0.195682,107.257319,114.668118,3.285638,245.652057
20.938939,0.154822,101.158376,113.886288,7.613010,243.753167
28.977827,0.712275,114.548402,109.573254,4.304056,258.116614
19.086747,0.159887,95.592743,93.773584,3.924424,212.538495
17.219809,0.121321,106.736257,121.592138,4.108994,249.779421
26.324763,0.152819,107.696676,129.833805,8.643501,272.653348
19.420189,0.926952,94.931354,116.845657,5.794808,237.920081
28.443686,0.205095,139.413985,146.912974,6.873346,321.850437
28.156774,0.188724,130.927658,134.475682,9.279545,303.032122
26.983419,0.208320,142.163600,146.697083,8.878637,324.932559
29.501963,0.138323,163.015533,153.424512,8.081772,354.163442
19.842645,0.126191,127.421036,160.686780,7.723178,315.801051
17.374802,0.133386,136.793010,169.118252,13.055864,336.476770
33.067285,0.190623,165.510036,200.904154,10.933252,410.609282
34.301851,0.211499,170.172895,206.407665,7.131413,418.226291
31.416587,0.124455,143.254780,195.653292,11.205287,381.656735
30.210695,0.441178,166.552743,207.186517,9.476052,413.868191
25.436528,0.180673,170.798876,203.980274,10.581466,410.979040
17.177613,0.041739,168.156627,195.098194,13.837535,394.313971
25.909971,0.103731,184.145394,198.749747,6.109828,415.019825
20.336686,0.055992,186.752330,208.051804,11.872689,427.071141
17.953339,0.154740,201.564596,239.663798,16.094950,475.432647
14.208111,0.065095,193.011277,210.837782,7.124317,425.247751
21.031966,0.125736,174.993402,166.120246,9.298516,371.571223
20.951857,0.150804,176.847369,204.167895,15.105167,417.225122
39.704905,0.159663,205.047743,218.087318,10.756559,473.757437
20.644709,0.104011,194.720725,186.915177,15.877359,418.263557
19.825923,0.076648,146.213134,205.433800,15.223537,386.774485
19.109909,0.406660,95.345959,82.875115,8.761722,206.500242
20.046091,0.118814,111.732306,74.306797,9.612870,215.818113
16.641400,0.084745,121.255704,80.094654,9.936718,228.014310
34.288137,1.055267,106.345880,70.225152,11.863813,223.779749
17.320972,0.251526,113.353867,72.713901,13.007671,216.649183
18.619915,0.128250,140.042792,98.878923,14.136126,271.807057
25.974515,0.331870,148.581440,91.194673,16.362345,282.446236
20.851782,0.204924,195.785852,120.797303,18.074719,355.715703
26.189636,0.222749,183.043799,121.905479,14.636726,345.999510
19.541673,0.174405,158.746805,110.717727,11.210247,300.391882
20.775168,0.149110,168.362789,103.765006,20.042273,313.097000
18.059554,0.109063,115.137939,96.286727,17.752052,247.346466
33.740332,0.176455,155.018382,137.389533,19.520681,345.846757
22.254528,0.157536,122.354275,109.931431,16.969937,271.669214
18.997535,0.155089,125.080788,88.924648,12.428256,245.587681
30.204832,0.123462,120.817302,96.017927,12.666412,259.830975
15.186348,0.146340,150.209493,123.511408,22.305226,311.360093
34.830287,0.179316,141.884835,107.507317,19.474107,303.877105
15.807361,0.170053,138.962933,104.462386,21.275605,280.679491
17.768293,0.118192,113.958448,115.530759,11.424029,258.803424
16.884436,0.100511,97.026652,101.565963,22.792953,238.374488
13.663532,0.136375,111.962976,109.898711,16.532661,252.195301
20.999207,0.098270,137.257655,142.269421,16.296531,316.924634
18.571832,0.088520,171.102314,117.613414,12.732641,320.110519
20.865637,0.126025,138.799280,129.693224,18.514120,307.999649
18.521493,0.138730,151.206410,109.333349,18.589198,297.790234
30.819429,0.064878,140.255611,114.737651,14.714639,300.594173
36.826197,0.130665,122.031966,104.765281,12.054390,275.810101
19.612803,0.136627,130.956505,195.690069,21.209729,367.607244
26.686087,0.084390,118.931102,93.014756,23.908412,262.625945
19.895989,0.205373,94.327134,61.844577,14.283254,190.560044
22.001965,0.117527,87.950480,51.941942,8.256606,170.269825
33.234126,2.589272,70.210750,45.704886,7.610936,159.351398
27.655070,0.145905,98.305070,59.584547,6.161920,191.853406
32.303182,0.138836,81.579842,67.462543,5.277188,186.762680
21.020216,0.184296,122.574076,68.575466,7.355983,219.711697
22.897981,0.164373,135.880762,83.307877,11.924378,254.177308
17.430061,0.130528,132.758099,84.143911,5.145945,239.609545
26.202872,0.102674,91.723942,95.990932,5.216916,219.238377
17.781298,0.191402,139.014310,87.699510,14.115028,258.802838
25.167040,0.153929,139.352623,110.014216,7.255853,281.944535
28.924327,0.276202,164.731204,126.428944,14.837668,335.199203
30.117980,0.208297,148.970173,114.700033,8.820603,302.818098
19.751027,0.137528,182.322908,144.474144,9.215779,355.902628
17.965316,0.172611,145.547431,131.305006,12.228826,307.220372
30.875193,0.700434,141.234676,144.968261,9.017281,326.796846
34.353654,0.087705,157.948640,130.286750,16.533250,339.211103
18.034207,0.079479,118.526692,104.446270,9.140477,250.228197
20.377733,0.179419,155.461276,113.133660,7.939294,297.092473
15.979685,0.075742,150.580545,118.780116,7.593851,293.011976
23.243145,0.076939,91.748548,69.849345,15.434827,200.354637
15.007889,0.053771,110.089856,84.947041,10.234587,220.334567
29.870686,0.060176,151.519654,110.346076,6.472530,298.270263
24.262478,0.051356,143.371811,100.523790,8.093619,276.304510
14.683966,0.092058,163.907948,98.213873,9.058016,285.957025
13.194111,0.044695,223.467370,117.818301,9.018472,363.544042
23.827977,0.071737,156.199095,94.387257,10.877005,285.364428
26.669064,0.117806,242.503327,126.931291,8.243946,404.466731
22.207536,0.131134,163.025891,95.773803,12.809080,293.948902
12.791380,0.081317,176.762856,100.772780,8.588956,298.999172
22.207914,0.076233,143.540598,137.551479,7.086150,310.463281
32.377455,0.160354,183.497270,101.373953,7.791617,325.201652
32.890001,0.322505,171.282231,73.706236,10.502891,288.705317
16.991097,0.083965,162.283467,83.254242,13.725000,276.339692
15.358579,0.088720,171.841339,98.334157,13.403964,299.027850
26.028408,0.143391,161.734735,86.855741,12.635286,287.399190
17.890915,0.694835,139.924306,75.951312,10.287152,244.749761
21.147201,0.095268,159.934069,89.158364,15.143953,285.481383
21.891448,0.122430,117.591575,81.321827,14.127332,235.056021
13.789685,0.137403,128.339651,98.590076,11.668687,252.526879
28.218932,0.195127,95.339008,71.636779,10.844511,206.236985
18.627951,0.244279,101.858860,85.903501,13.073141,219.708772
23.159717,0.129799,110.798526,67.917064,14.294609,216.301054
22.610263,0.103452,106.305780,70.067479,17.899365,216.987315
15.053057,0.107480,75.920264,66.428807,12.897170,170.408494
38.022655,0.137166,123.537533,56.520027,10.975889,229.198363
23.005731,0.094912,94.307866,45.029017,11.998149,174.436670
21.292138,0.146165,108.144966,47.145856,16.591533,193.322789
19.276220,0.067244,103.108736,31.802714,17.614705,171.873185
16.319639,0.132372,132.036089,59.530604,10.512466,218.532291
16.798664,0.087869,113.085663,48.022489,6.343790,184.340399
13.759053,0.133901,92.664475,43.122860,6.644589,156.325876
18.093260,0.080684,84.924862,47.531676,8.454347,159.086056
12.193510,0.062507,105.148014,43.504750,5.013567,165.923539
23.537511,0.073478,120.016333,55.875412,9.621049,209.125070
