# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
2,1404,1.539998,5.858755,13.413271
2,1407,0.636696,5.464861,12.249128
3,617,0.904901,1.394986,3.644645
3,753,0.314005,1.122225,2.753259
3,1176,1.518695,7.741239,10.329295
3,1164,0.445628,1.471429,3.456281
4,1073,0.433928,1.112129,2.565750
4,1513,0.920745,3.483888,7.421229
4,1575,1.196166,2.968810,7.365239
4,1566,3.792158,4.585819,5.672444
4,1559,3.586387,1.244679,2.700613
5,1223,0.429871,0.867534,3.513712
5,1303,0.418919,0.981313,1.902450
5,1629,0.570186,1.787720,3.211231
5,1646,0.739623,1.344958,2.872324
5,1653,0.964676,1.352019,3.134409
5,1651,0.786268,0.912492,2.158617
5,1651,0.867448,1.779991,6.310212
6,1267,0.474782,0.718078,2.093987
6,1548,0.749311,1.388917,3.017006
6,1658,0.674071,1.179005,3.096765
6,1658,0.707162,0.948945,1.488282
6,1683,3.330583,1.495827,1.438445
6,1683,0.582040,0.968518,1.388024
6,1670,1.096652,1.472353,2.798092
6,1670,1.463119,1.431823,2.443458
7,1505,2.309186,1.640026,2.681550
7,1543,2.363719,5.799217,3.986455
7,1523,0.687421,4.256001,4.590946
7,1522,0.544609,0.790901,1.622133
8,1359,1.236814,0.851539,2.249816
8,1473,0.999266,2.769519,7.815800
8,1447,1.122865,1.438432,3.032933
8,1446,0.603650,0.778975,2.355391
9,1533,0.563767,0.944349,2.801397
9,1614,0.905046,1.209156,4.253395
9,1581,1.535339,2.013552,3.800598
9,1581,4.517169,1.415854,2.565709
9,1581,0.647854,0.911489,2.032844
9,1581,0.866290,1.226340,3.131373
9,1581,0.656996,1.360591,2.835888
10,1586,0.899892,1.495567,3.316772
10,1670,0.843064,1.464278,3.268910
10,1636,0.994738,1.688517,3.225995
10,1636,1.302430,1.688469,4.726726
10,1636,0.641246,0.835283,2.830395
11,1725,2.533582,2.530885,3.766288
11,1702,1.253049,2.930770,4.107881
11,1702,0.824264,1.172421,2.478092
11,1702,0.775748,0.994519,3.162628
11,1702,0.845435,1.561366,3.215124
12,1792,4.446695,1.996278,4.816113
12,1815,4.830810,2.612506,4.410402
12,1780,1.889712,2.990835,8.465283
12,1780,5.311364,1.038481,3.345383
13,1898,0.810061,1.325974,2.373243
13,1920,1.180511,1.641062,3.613018
13,1885,2.386908,7.254185,2.998294
13,1885,2.596363,2.487678,3.676632
14,1985,1.305732,2.135557,3.565395
13,1998,1.130441,1.661393,3.240059
14,1956,1.034903,1.986192,3.746788
13,1956,1.405927,1.892680,2.773443
14,1956,0.756453,0.971947,2.084240
14,2041,0.970111,1.782601,3.706669
14,2022,2.352229,2.745318,3.448015
14,2012,1.292166,3.970151,4.078559
14,2012,1.514016,1.276105,2.378670
15,2132,0.876730,2.539714,3.698119
15,2101,0.976676,2.238333,8.558288
14,2101,1.276722,3.819489,4.559473
14,2101,0.930737,1.134619,2.353535
15,2232,1.404459,7.341401,5.026466
14,1821,2.021919,12.519690,3.552389
14,1821,2.134382,1.021019,3.430566
14,1821,1.082323,1.637611,3.321010
15,1922,0.765726,1.727144,4.805661
15,1886,1.974492,2.013097,4.932114
15,1886,1.205641,1.849617,5.073359
15,1886,1.462141,1.669581,2.516750
16,1990,1.034769,1.743127,4.323645
16,1969,1.563955,1.753734,3.561470
16,1969,1.392808,1.832782,5.178453
16,1969,1.443917,2.697081,2.581067
16,1969,0.930665,1.049872,2.420571
16,1969,2.091163,2.070544,3.384896
17,2067,1.180499,1.734059,3.959041
17,2057,2.564084,2.196160,3.575174
17,2056,1.213871,1.417216,4.281315
17,2056,1.156720,2.029266,3.523710
17,2056,0.740245,0.996519,2.493747
17,2056,1.457178,1.063164,2.887032
17,2056,0.903779,1.250641,2.972412
17,1801,0.888953,1.528986,3.562731
17,1787,1.309104,2.287872,4.136315
17,1786,0.726886,0.907399,2.233063
17,1786,0.833036,1.089260,2.376890
18,1974,1.280892,2.184610,5.473368
18,1967,1.435946,6.296080,5.025423
18,1967,1.665613,2.101937,4.172246
18,1967,0.804394,1.267947,3.618816
19,2090,1.412295,2.202166,4.788493
19,2077,2.057953,2.282748,4.918942
17,1918,1.257283,2.068202,3.839321
17,1918,0.760692,1.210856,2.808908
18,2005,0.749065,1.360080,2.979447
18,1999,1.774134,2.034091,4.767961
18,1999,0.918240,1.213123,3.002911
17,1999,0.652727,0.990592,2.089166
15,1726,2.561490,1.730569,3.556369
15,1726,1.484176,2.440519,5.159479
15,1726,0.654866,0.855875,2.426535
16,1903,0.739511,1.591614,3.264821
15,1836,0.794966,3.364013,3.016157
13,1687,0.583381,0.898510,2.197743
15,1893,0.623280,1.150180,3.088406
14,1798,0.636927,0.897586,2.092395
15,1885,0.665708,1.113169,2.630899
15,1887,0.850960,1.622625,3.422307
15,1887,1.479255,2.315640,3.123797
16,1974,2.288410,1.447066,2.580147
17,2033,0.633666,1.157775,2.800486
17,2032,1.466286,2.787314,4.420814
17,2032,2.858180,1.515858,4.785502
17,2033,0.912580,1.723661,3.246470
18,2112,0.972175,1.485844,2.825185
18,2112,0.677329,0.872163,2.338466
15,1878,0.555441,1.006023,2.780521
15,1878,1.093593,1.779239,3.738791
